t,x,y,lane_index,speed,behavior
0.0,51.96,0.0,1.0,19.6,FOLLOW
0.1,53.88,0.0,1.0,19.200000000000003,FOLLOW
0.2,55.760000000000005,0.0,1.0,18.800000000000004,FOLLOW
0.30000000000000004,57.60000000000001,0.0,1.0,18.400000000000006,FOLLOW
0.4,59.400000000000006,0.0,1.0,18.000000000000007,FOLLOW
0.5,61.160000000000004,0.0,1.0,17.60000000000001,FOLLOW
0.6,62.88,0.0,1.0,17.20000000000001,FOLLOW
0.7,64.56,0.0,1.0,16.80000000000001,FOLLOW
0.7999999999999999,66.2,0.0,1.0,16.400000000000013,FOLLOW
0.8999999999999999,67.80787061680529,0.0,1.0,16.078706168052832,FOLLOW
0.9999999999999999,69.39435198861452,0.0,1.0,15.864813718092242,FOLLOW
1.0999999999999999,70.96587495018326,0.0,1.0,15.715229615687447,FOLLOW
1.2,72.52666280932887,0.0,1.0,15.607878591456062,FOLLOW
1.3,74.07966494992355,0.0,1.0,15.530021405946911,FOLLOW
1.4000000000000001,75.6270342712499,0.0,1.0,15.473693213263385,FOLLOW
1.5000000000000002,77.17039577461249,0.0,1.0,15.433615033625964,FOLLOW
1.6000000000000003,78.71100856379194,0.0,1.0,15.40612789179454,FOLLOW
1.7000000000000004,80.2498689351468,0.0,1.0,15.388603713548571,FOLLOW
1.8000000000000005,81.78777884212187,0.0,1.0,15.3790990697507,FOLLOW
1.9000000000000006,83.32539298271907,0.0,1.0,15.37614140597206,FOLLOW
2.0000000000000004,84.86325214622387,0.0,1.0,15.378591635047995,FOLLOW
2.1000000000000005,86.40180742420944,0.0,1.0,15.385552779855722,FOLLOW
2.2000000000000006,87.94143817022947,0.0,1.0,15.396307460200351,FOLLOW
2.3000000000000007,89.48246557430798,0.0,1.0,15.410274040785088,FOLLOW
2.400000000000001,91.0251630937887,0.0,1.0,15.426975194807326,FOLLOW
2.500000000000001,92.56976458704534,0.0,1.0,15.446014932566303,FOLLOW
2.600000000000001,94.11647073980573,0.0,1.0,15.467061527603938,FOLLOW
2.700000000000001,95.66545420294972,0.0,1.0,15.489834631439896,FOLLOW
2.800000000000001,97.21686374445774,0.0,1.0,15.514095415080272,FOLLOW
2.9000000000000012,98.77082763768121,0.0,1.0,15.5396389322347,FOLLOW
3.0000000000000013,100.32745645130338,0.0,1.0,15.566288136221717,FOLLOW
3.1000000000000014,101.8868453656769,0.0,1.0,15.593889143735291,FOLLOW
3.2000000000000015,103.44907611066593,0.0,1.0,15.622307449890199,FOLLOW
3.3000000000000016,105.01421859836097,0.0,1.0,15.651424876950347,FOLLOW
3.4000000000000017,106.58233230782163,0.0,1.0,15.681137094606589,FOLLOW
3.5000000000000018,108.1534674667856,0.0,1.0,15.711351589639689,FOLLOW
3.600000000000002,109.72766606598182,0.0,1.0,15.741985991962219,FOLLOW
3.700000000000002,111.30496273453342,0.0,1.0,15.772966685515991,FOLLOW
3.800000000000002,112.88538549939186,0.0,1.0,15.804227648584352,FOLLOW
3.900000000000002,114.46895644740748,0.0,1.0,15.835709480156236,FOLLOW
4.000000000000002,116.05569230522326,0.0,1.0,15.86735857815787,FOLLOW
4.100000000000001,117.64560494946372,0.0,1.0,15.899126442404608,FOLLOW
4.200000000000001,119.23870185752007,0.0,1.0,15.930969080563461,FOLLOW
4.300000000000001,120.83498650748525,0.0,1.0,15.962846499651814,FOLLOW
4.4,122.43445873437723,0.0,1.0,15.994722268919725,FOLLOW
4.5,124.0371150486359,0.0,1.0,16.026563142586618,FOLLOW
4.6,125.64294892193475,0.0,1.0,16.058338732988513,FOLLOW
4.699999999999999,127.25195104457072,0.0,1.0,16.09002122635966,FOLLOW
4.799999999999999,128.8693948420304,0.0,1.0,16.17443797459677,CRUISE
4.899999999999999,130.49514719340442,0.0,1.0,16.257523513740217,CRUISE
4.999999999999998,132.1290772164121,0.0,1.0,16.339300230076777,CRUISE
5.099999999999998,133.7710562211835,0.0,1.0,16.41979004771388,CRUISE
5.1999999999999975,135.42095766496527,0.0,1.0,16.49901443781764,CRUISE
5.299999999999997,137.07865710778674,0.0,1.0,16.57699442821457,CRUISE
5.399999999999997,138.74403216910594,0.0,1.0,16.653750613191935,CRUISE
5.4999999999999964,140.4169624854437,0.0,1.0,16.729303163377626,CRUISE
5.599999999999996,142.09732966900515,0.0,1.0,16.803671835614708,CRUISE
5.699999999999996,143.78501726728226,0.0,1.0,16.876875982771182,CRUISE
5.799999999999995,145.47991072362666,0.0,1.0,16.94893456344402,CRUISE
5.899999999999995,147.18189733877966,0.0,1.0,17.019866151530103,CRUISE
5.999999999999995,148.8908662333443,0.0,1.0,17.089688945646447,CRUISE
6.099999999999994,150.60670831118318,0.0,1.0,17.158420778388994,CRUISE
6.199999999999994,152.32931622372558,0.0,1.0,17.226079125423993,CRUISE
6.299999999999994,154.0585843351665,0.0,1.0,17.29268111440927,CRUISE
6.399999999999993,155.79440868854098,0.0,1.0,17.358243533744723,CRUISE
6.499999999999993,157.53668697265624,0.0,1.0,17.422782841152685,CRUISE
6.5999999999999925,159.28531848986518,0.0,1.0,17.486315172089405,CRUISE
6.699999999999992,161.04020412466411,0.0,1.0,17.54885634798929,CRUISE
6.799999999999992,162.80124631309846,0.0,1.0,17.610421884343417,CRUISE
6.8999999999999915,164.56834901295983,0.0,1.0,17.671026998613822,CRUISE
6.999999999999991,166.3414176747583,0.0,1.0,17.730686617984716,CRUISE
7.099999999999991,168.12035921345347,0.0,1.0,17.789415386951532,CRUISE
7.19999999999999,169.90508198092832,0.0,1.0,17.84722767474845,CRUISE
7.29999999999999,171.6954957391898,0.0,1.0,17.904137582614702,CRUISE
7.39999999999999,173.4915116342798,0.0,1.0,17.96015895089983,CRUISE
7.499999999999989,175.29304217088057,0.0,1.0,18.01530536600777,CRUISE
7.599999999999989,177.10000118759854,0.0,1.0,18.069590167179587,CRUISE
7.699999999999989,178.91230383291,0.0,1.0,18.123026453114615,CRUISE
7.799999999999988,180.72986654175295,0.0,1.0,18.17562708842963,CRUISE
7.899999999999988,182.55260701274852,0.0,1.0,18.227404709955795,CRUISE
7.999999999999988,184.38044418603585,0.0,1.0,18.278371732873197,CRUISE
8.099999999999987,186.21329822170412,0.0,1.0,18.328540356682744,CRUISE
8.199999999999987,188.0510904788057,0.0,1.0,18.377922571015556,CRUISE
8.299999999999986,189.8937434949337,0.0,1.0,18.42653016127992,CRUISE
8.399999999999986,191.7411809663483,0.0,1.0,18.47437471414624,CRUISE
8.499999999999986,193.59332772863536,0.0,1.0,18.521467622870503,CRUISE
8.599999999999985,195.45010973788106,0.0,1.0,18.56782009245707,CRUISE
8.699999999999985,197.31145405234724,0.0,1.0,18.613443144661762,CRUISE
8.799999999999985,199.17728881463088,0.0,1.0,18.65834762283652,CRUISE
8.899999999999984,201.0475432342926,0.0,1.0,18.70254419661706,CRUISE
8.999999999999984,202.9221475709381,0.0,1.0,18.74604336645526,CRUISE
9.099999999999984,204.80103311773792,0.0,1.0,18.788855467998165,CRUISE
9.199999999999983,206.6841321853695,0.0,1.0,18.830990676315743,CRUISE
9.299999999999983,208.57137808636747,0.0,1.0,18.87245900997978,CRUISE
9.399999999999983,210.4627051198671,0.0,1.0,18.913270334996394,CRUISE
9.499999999999982,212.3580485567266,0.0,1.0,18.953434368594902,CRUISE
9.599999999999982,214.2573446250142,0.0,1.0,18.992960682875992,CRUISE
9.699999999999982,216.16053049584642,0.0,1.0,19.031858708322154,CRUISE
9.799999999999981,218.06754426956377,0.0,1.0,19.070137737173653,CRUISE
9.89999999999998,219.97832496223108,0.0,1.0,19.107806926673288,CRUISE
9.99999999999998,221.89281249244942,0.0,1.0,19.144875302183422,CRUISE
10.09999999999998,223.8109476684673,0.0,1.0,19.18135176017879,CRUISE
10.19999999999998,225.73267217557915,0.0,1.0,19.21724507111868,CRUISE
10.29999999999998,227.65792856379937,0.0,1.0,19.252563882202196,CRUISE
